cell_id,arch,target_class,poison_class,ytargetadv,npoison,ncraftstep,nreplay,objective,note
A01,ConvNetBN,2,5,5,5,61,6,cwT,fig4-dogbird-budget-0.01%
A02,ConvNetBN,2,5,5,50,61,6,cwT,fig4-dogbird-budget-0.1%
A03,ConvNetBN,2,5,5,500,61,6,cwT,fig4-dogbird-budget-1%
A04,ConvNetBN,2,5,5,2500,61,6,cwT,fig4-dogbird-budget-5%
A05,ConvNetBN,2,5,5,5000,61,6,cwT,fig4-dogbird-budget-10%
A06,ConvNetBN,0,6,6,5,61,6,cwT,fig4-frogplane-budget-0.01%
A07,ConvNetBN,0,6,6,50,61,6,cwT,fig4-frogplane-budget-0.1%
A08,ConvNetBN,0,6,6,500,61,6,cwT,fig4-frogplane-budget-1%
A09,ConvNetBN,0,6,6,2500,61,6,cwT,fig4-frogplane-budget-5%
A10,ConvNetBN,0,6,6,5000,61,6,cwT,fig4-frogplane-budget-10%
A11,VGG13BN,2,5,5,5,61,6,cwT,fig4-dogbird-budget-0.01%
A12,VGG13BN,2,5,5,50,61,6,cwT,fig4-dogbird-budget-0.1%
A13,VGG13BN,2,5,5,500,61,6,cwT,fig4-dogbird-budget-1%
A14,VGG13BN,2,5,5,2500,61,6,cwT,fig4-dogbird-budget-5%
A15,VGG13BN,2,5,5,5000,61,6,cwT,fig4-dogbird-budget-10%
A16,VGG13BN,0,6,6,5,61,6,cwT,fig4-frogplane-budget-0.01%
A17,VGG13BN,0,6,6,50,61,6,cwT,fig4-frogplane-budget-0.1%
A18,VGG13BN,0,6,6,500,61,6,cwT,fig4-frogplane-budget-1%
A19,VGG13BN,0,6,6,2500,61,6,cwT,fig4-frogplane-budget-5%
A20,VGG13BN,0,6,6,5000,61,6,cwT,fig4-frogplane-budget-10%
A21,ResNet,2,5,5,5,61,6,cwT,fig4-dogbird-budget-0.01%
A22,ResNet,2,5,5,50,61,6,cwT,fig4-dogbird-budget-0.1%
A23,ResNet,2,5,5,500,61,6,cwT,fig4-dogbird-budget-1%
A24,ResNet,2,5,5,2500,61,6,cwT,fig4-dogbird-budget-5%
A25,ResNet,2,5,5,5000,61,6,cwT,fig4-dogbird-budget-10%
A26,ResNet,0,6,6,5,61,6,cwT,fig4-frogplane-budget-0.01%
A27,ResNet,0,6,6,50,61,6,cwT,fig4-frogplane-budget-0.1%
A28,ResNet,0,6,6,500,61,6,cwT,fig4-frogplane-budget-1%
A29,ResNet,0,6,6,2500,61,6,cwT,fig4-frogplane-budget-5%
A30,ResNet,0,6,6,5000,61,6,cwT,fig4-frogplane-budget-10%
