cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A01_t1,ConvNetBN,2,5,5,1,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target1
A01_t2,ConvNetBN,2,5,5,2,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target2
A01_t3,ConvNetBN,2,5,5,3,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target3
A01_t4,ConvNetBN,2,5,5,4,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target4
A01_t5,ConvNetBN,2,5,5,5,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target5
A01_t6,ConvNetBN,2,5,5,6,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target6
A01_t7,ConvNetBN,2,5,5,7,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target7
A01_t8,ConvNetBN,2,5,5,8,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target8
A01_t9,ConvNetBN,2,5,5,9,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target9
A02_t1,ConvNetBN,2,5,5,1,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target1
A02_t2,ConvNetBN,2,5,5,2,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target2
A02_t3,ConvNetBN,2,5,5,3,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target3
A02_t4,ConvNetBN,2,5,5,4,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target4
A02_t5,ConvNetBN,2,5,5,5,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target5
A02_t6,ConvNetBN,2,5,5,6,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target6
A02_t7,ConvNetBN,2,5,5,7,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target7
A02_t8,ConvNetBN,2,5,5,8,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target8
A02_t9,ConvNetBN,2,5,5,9,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target9
A03_t1,ConvNetBN,2,5,5,1,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target1
A03_t2,ConvNetBN,2,5,5,2,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target2
A03_t3,ConvNetBN,2,5,5,3,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target3
A03_t4,ConvNetBN,2,5,5,4,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target4
A03_t5,ConvNetBN,2,5,5,5,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target5
A03_t6,ConvNetBN,2,5,5,6,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target6
A03_t7,ConvNetBN,2,5,5,7,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target7
A03_t8,ConvNetBN,2,5,5,8,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target8
A03_t9,ConvNetBN,2,5,5,9,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target9
