cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A01_t1,ConvNetBN,2,5,5,1,5,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5-target1
A01_t2,ConvNetBN,2,5,5,2,5,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5-target2
A01_t3,ConvNetBN,2,5,5,3,5,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5-target3
A01_t4,ConvNetBN,2,5,5,4,5,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5-target4
A02_t1,ConvNetBN,2,5,5,1,50,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison50-target1
A02_t2,ConvNetBN,2,5,5,2,50,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison50-target2
A02_t3,ConvNetBN,2,5,5,3,50,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison50-target3
A02_t4,ConvNetBN,2,5,5,4,50,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison50-target4
A03_t1,ConvNetBN,2,5,5,1,500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison500-target1
A03_t2,ConvNetBN,2,5,5,2,500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison500-target2
A03_t3,ConvNetBN,2,5,5,3,500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison500-target3
A03_t4,ConvNetBN,2,5,5,4,500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison500-target4
A04_t1,ConvNetBN,2,5,5,1,2500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison2500-target1
A04_t2,ConvNetBN,2,5,5,2,2500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison2500-target2
A04_t3,ConvNetBN,2,5,5,3,2500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison2500-target3
A04_t4,ConvNetBN,2,5,5,4,2500,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison2500-target4
A05_t1,ConvNetBN,2,5,5,1,5000,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5000-target1
A05_t2,ConvNetBN,2,5,5,2,5000,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5000-target2
A05_t3,ConvNetBN,2,5,5,3,5000,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5000-target3
A05_t4,ConvNetBN,2,5,5,4,5000,61,6,cwT,fig4-n20-dogbird-ConvNetBN-npoison5000-target4
A06_t1,ConvNetBN,0,6,6,1,5,61,6,cwT,fig4-n20-frogplane-ConvNetBN-npoison5-target1
A06_t2,ConvNetBN,0,6,6,2,5,61,6,cwT,fig4-n20-frogplane-ConvNetBN-npoison5-target2
A06_t3,ConvNetBN,0,6,6,3,5,61,6,cwT,fig4-n20-frogplane-ConvNetBN-npoison5-target3
A06_t4,ConvNetBN,0,6,6,4,5,61,6,cwT,fig4-n20-frogplane-ConvNetBN-npoison5-target4
