victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A01_t1_s0,A01_t1,craft-A01_t1,A01,1,0
A01_t1_s1,A01_t1,craft-A01_t1,A01,1,1
A01_t1_s2,A01_t1,craft-A01_t1,A01,1,2
A01_t1_s3,A01_t1,craft-A01_t1,A01,1,3
A01_t2_s0,A01_t2,craft-A01_t2,A01,2,0
A01_t2_s1,A01_t2,craft-A01_t2,A01,2,1
A01_t2_s2,A01_t2,craft-A01_t2,A01,2,2
A01_t2_s3,A01_t2,craft-A01_t2,A01,2,3
A01_t3_s0,A01_t3,craft-A01_t3,A01,3,0
A01_t3_s1,A01_t3,craft-A01_t3,A01,3,1
A01_t3_s2,A01_t3,craft-A01_t3,A01,3,2
A01_t3_s3,A01_t3,craft-A01_t3,A01,3,3
A01_t4_s0,A01_t4,craft-A01_t4,A01,4,0
A01_t4_s1,A01_t4,craft-A01_t4,A01,4,1
A01_t4_s2,A01_t4,craft-A01_t4,A01,4,2
A01_t4_s3,A01_t4,craft-A01_t4,A01,4,3
A02_t1_s0,A02_t1,craft-A02_t1,A02,1,0
A02_t1_s1,A02_t1,craft-A02_t1,A02,1,1
A02_t1_s2,A02_t1,craft-A02_t1,A02,1,2
A02_t1_s3,A02_t1,craft-A02_t1,A02,1,3
A02_t2_s0,A02_t2,craft-A02_t2,A02,2,0
A02_t2_s1,A02_t2,craft-A02_t2,A02,2,1
A02_t2_s2,A02_t2,craft-A02_t2,A02,2,2
A02_t2_s3,A02_t2,craft-A02_t2,A02,2,3
A02_t3_s0,A02_t3,craft-A02_t3,A02,3,0
A02_t3_s1,A02_t3,craft-A02_t3,A02,3,1
A02_t3_s2,A02_t3,craft-A02_t3,A02,3,2
A02_t3_s3,A02_t3,craft-A02_t3,A02,3,3
A02_t4_s0,A02_t4,craft-A02_t4,A02,4,0
A02_t4_s1,A02_t4,craft-A02_t4,A02,4,1
A02_t4_s2,A02_t4,craft-A02_t4,A02,4,2
A02_t4_s3,A02_t4,craft-A02_t4,A02,4,3
A03_t1_s0,A03_t1,craft-A03_t1,A03,1,0
A03_t1_s1,A03_t1,craft-A03_t1,A03,1,1
A03_t1_s2,A03_t1,craft-A03_t1,A03,1,2
A03_t1_s3,A03_t1,craft-A03_t1,A03,1,3
A03_t2_s0,A03_t2,craft-A03_t2,A03,2,0
A03_t2_s1,A03_t2,craft-A03_t2,A03,2,1
A03_t2_s2,A03_t2,craft-A03_t2,A03,2,2
A03_t2_s3,A03_t2,craft-A03_t2,A03,2,3
A03_t3_s0,A03_t3,craft-A03_t3,A03,3,0
A03_t3_s1,A03_t3,craft-A03_t3,A03,3,1
A03_t3_s2,A03_t3,craft-A03_t3,A03,3,2
A03_t3_s3,A03_t3,craft-A03_t3,A03,3,3
A03_t4_s0,A03_t4,craft-A03_t4,A03,4,0
A03_t4_s1,A03_t4,craft-A03_t4,A03,4,1
A03_t4_s2,A03_t4,craft-A03_t4,A03,4,2
A03_t4_s3,A03_t4,craft-A03_t4,A03,4,3
A04_t1_s0,A04_t1,craft-A04_t1,A04,1,0
A04_t1_s1,A04_t1,craft-A04_t1,A04,1,1
A04_t1_s2,A04_t1,craft-A04_t1,A04,1,2
A04_t1_s3,A04_t1,craft-A04_t1,A04,1,3
A04_t2_s0,A04_t2,craft-A04_t2,A04,2,0
