victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A07_t1_s4,A07_t1,craft-A07_t1,A07,1,4
A07_t1_s5,A07_t1,craft-A07_t1,A07,1,5
A07_t2_s4,A07_t2,craft-A07_t2,A07,2,4
A07_t2_s5,A07_t2,craft-A07_t2,A07,2,5
A07_t3_s4,A07_t3,craft-A07_t3,A07,3,4
A07_t3_s5,A07_t3,craft-A07_t3,A07,3,5
A07_t4_s4,A07_t4,craft-A07_t4,A07,4,4
A07_t4_s5,A07_t4,craft-A07_t4,A07,4,5
A08_t1_s4,A08_t1,craft-A08_t1,A08,1,4
A08_t1_s5,A08_t1,craft-A08_t1,A08,1,5
A08_t2_s4,A08_t2,craft-A08_t2,A08,2,4
A08_t2_s5,A08_t2,craft-A08_t2,A08,2,5
A08_t3_s4,A08_t3,craft-A08_t3,A08,3,4
A08_t3_s5,A08_t3,craft-A08_t3,A08,3,5
A08_t4_s4,A08_t4,craft-A08_t4,A08,4,4
A08_t4_s5,A08_t4,craft-A08_t4,A08,4,5
A09_t1_s4,A09_t1,craft-A09_t1,A09,1,4
A09_t1_s5,A09_t1,craft-A09_t1,A09,1,5
A09_t2_s4,A09_t2,craft-A09_t2,A09,2,4
A09_t2_s5,A09_t2,craft-A09_t2,A09,2,5
A09_t3_s4,A09_t3,craft-A09_t3,A09,3,4
A09_t3_s5,A09_t3,craft-A09_t3,A09,3,5
A09_t4_s4,A09_t4,craft-A09_t4,A09,4,4
A09_t4_s5,A09_t4,craft-A09_t4,A09,4,5
A10_t1_s4,A10_t1,craft-A10_t1,A10,1,4
A10_t1_s5,A10_t1,craft-A10_t1,A10,1,5
A10_t2_s4,A10_t2,craft-A10_t2,A10,2,4
A10_t2_s5,A10_t2,craft-A10_t2,A10,2,5
A10_t3_s4,A10_t3,craft-A10_t3,A10,3,4
A10_t3_s5,A10_t3,craft-A10_t3,A10,3,5
A10_t4_s4,A10_t4,craft-A10_t4,A10,4,4
A10_t4_s5,A10_t4,craft-A10_t4,A10,4,5
