victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A01_t1_s4,A01_t1,craft-A01_t1,A01,1,4
A01_t1_s5,A01_t1,craft-A01_t1,A01,1,5
A01_t2_s4,A01_t2,craft-A01_t2,A01,2,4
A01_t2_s5,A01_t2,craft-A01_t2,A01,2,5
A01_t3_s4,A01_t3,craft-A01_t3,A01,3,4
A01_t3_s5,A01_t3,craft-A01_t3,A01,3,5
A01_t4_s4,A01_t4,craft-A01_t4,A01,4,4
A01_t4_s5,A01_t4,craft-A01_t4,A01,4,5
A02_t1_s4,A02_t1,craft-A02_t1,A02,1,4
A02_t1_s5,A02_t1,craft-A02_t1,A02,1,5
A02_t2_s4,A02_t2,craft-A02_t2,A02,2,4
A02_t2_s5,A02_t2,craft-A02_t2,A02,2,5
A02_t3_s4,A02_t3,craft-A02_t3,A02,3,4
A02_t3_s5,A02_t3,craft-A02_t3,A02,3,5
A02_t4_s4,A02_t4,craft-A02_t4,A02,4,4
A02_t4_s5,A02_t4,craft-A02_t4,A02,4,5
A03_t1_s4,A03_t1,craft-A03_t1,A03,1,4
A03_t1_s5,A03_t1,craft-A03_t1,A03,1,5
A03_t2_s4,A03_t2,craft-A03_t2,A03,2,4
A03_t2_s5,A03_t2,craft-A03_t2,A03,2,5
A03_t3_s4,A03_t3,craft-A03_t3,A03,3,4
A03_t3_s5,A03_t3,craft-A03_t3,A03,3,5
A03_t4_s4,A03_t4,craft-A03_t4,A03,4,4
A03_t4_s5,A03_t4,craft-A03_t4,A03,4,5
A04_t1_s4,A04_t1,craft-A04_t1,A04,1,4
A04_t1_s5,A04_t1,craft-A04_t1,A04,1,5
A04_t2_s4,A04_t2,craft-A04_t2,A04,2,4
A04_t2_s5,A04_t2,craft-A04_t2,A04,2,5
A04_t3_s4,A04_t3,craft-A04_t3,A04,3,4
A04_t3_s5,A04_t3,craft-A04_t3,A04,3,5
A04_t4_s4,A04_t4,craft-A04_t4,A04,4,4
A04_t4_s5,A04_t4,craft-A04_t4,A04,4,5
A05_t1_s4,A05_t1,craft-A05_t1,A05,1,4
A05_t1_s5,A05_t1,craft-A05_t1,A05,1,5
A05_t2_s4,A05_t2,craft-A05_t2,A05,2,4
A05_t2_s5,A05_t2,craft-A05_t2,A05,2,5
A05_t3_s4,A05_t3,craft-A05_t3,A05,3,4
A05_t3_s5,A05_t3,craft-A05_t3,A05,3,5
A05_t4_s4,A05_t4,craft-A05_t4,A05,4,4
A05_t4_s5,A05_t4,craft-A05_t4,A05,4,5
A06_t1_s4,A06_t1,craft-A06_t1,A06,1,4
A06_t1_s5,A06_t1,craft-A06_t1,A06,1,5
A06_t2_s4,A06_t2,craft-A06_t2,A06,2,4
A06_t2_s5,A06_t2,craft-A06_t2,A06,2,5
A06_t3_s4,A06_t3,craft-A06_t3,A06,3,4
A06_t3_s5,A06_t3,craft-A06_t3,A06,3,5
A06_t4_s4,A06_t4,craft-A06_t4,A06,4,4
A06_t4_s5,A06_t4,craft-A06_t4,A06,4,5
A07_t1_s4,A07_t1,craft-A07_t1,A07,1,4
A07_t1_s5,A07_t1,craft-A07_t1,A07,1,5
A07_t2_s4,A07_t2,craft-A07_t2,A07,2,4
A07_t2_s5,A07_t2,craft-A07_t2,A07,2,5
A07_t3_s4,A07_t3,craft-A07_t3,A07,3,4
A07_t3_s5,A07_t3,craft-A07_t3,A07,3,5
A07_t4_s4,A07_t4,craft-A07_t4,A07,4,4
A07_t4_s5,A07_t4,craft-A07_t4,A07,4,5
A08_t1_s4,A08_t1,craft-A08_t1,A08,1,4
A08_t1_s5,A08_t1,craft-A08_t1,A08,1,5
A08_t2_s4,A08_t2,craft-A08_t2,A08,2,4
A08_t2_s5,A08_t2,craft-A08_t2,A08,2,5
A08_t3_s4,A08_t3,craft-A08_t3,A08,3,4
A08_t3_s5,A08_t3,craft-A08_t3,A08,3,5
A08_t4_s4,A08_t4,craft-A08_t4,A08,4,4
A08_t4_s5,A08_t4,craft-A08_t4,A08,4,5
A09_t1_s4,A09_t1,craft-A09_t1,A09,1,4
A09_t1_s5,A09_t1,craft-A09_t1,A09,1,5
A09_t2_s4,A09_t2,craft-A09_t2,A09,2,4
A09_t2_s5,A09_t2,craft-A09_t2,A09,2,5
A09_t3_s4,A09_t3,craft-A09_t3,A09,3,4
A09_t3_s5,A09_t3,craft-A09_t3,A09,3,5
A09_t4_s4,A09_t4,craft-A09_t4,A09,4,4
A09_t4_s5,A09_t4,craft-A09_t4,A09,4,5
A10_t1_s4,A10_t1,craft-A10_t1,A10,1,4
A10_t1_s5,A10_t1,craft-A10_t1,A10,1,5
A10_t2_s4,A10_t2,craft-A10_t2,A10,2,4
A10_t2_s5,A10_t2,craft-A10_t2,A10,2,5
A10_t3_s4,A10_t3,craft-A10_t3,A10,3,4
A10_t3_s5,A10_t3,craft-A10_t3,A10,3,5
A10_t4_s4,A10_t4,craft-A10_t4,A10,4,4
A10_t4_s5,A10_t4,craft-A10_t4,A10,4,5
A11_t1_s4,A11_t1,craft-A11_t1,A11,1,4
A11_t1_s5,A11_t1,craft-A11_t1,A11,1,5
A11_t2_s4,A11_t2,craft-A11_t2,A11,2,4
A11_t2_s5,A11_t2,craft-A11_t2,A11,2,5
A11_t3_s4,A11_t3,craft-A11_t3,A11,3,4
A11_t3_s5,A11_t3,craft-A11_t3,A11,3,5
A11_t4_s4,A11_t4,craft-A11_t4,A11,4,4
A11_t4_s5,A11_t4,craft-A11_t4,A11,4,5
A12_t1_s4,A12_t1,craft-A12_t1,A12,1,4
A12_t1_s5,A12_t1,craft-A12_t1,A12,1,5
A12_t2_s4,A12_t2,craft-A12_t2,A12,2,4
A12_t2_s5,A12_t2,craft-A12_t2,A12,2,5
A12_t3_s4,A12_t3,craft-A12_t3,A12,3,4
A12_t3_s5,A12_t3,craft-A12_t3,A12,3,5
A12_t4_s4,A12_t4,craft-A12_t4,A12,4,4
A12_t4_s5,A12_t4,craft-A12_t4,A12,4,5
A13_t1_s4,A13_t1,craft-A13_t1,A13,1,4
A13_t1_s5,A13_t1,craft-A13_t1,A13,1,5
A13_t2_s4,A13_t2,craft-A13_t2,A13,2,4
A13_t2_s5,A13_t2,craft-A13_t2,A13,2,5
A13_t3_s4,A13_t3,craft-A13_t3,A13,3,4
A13_t3_s5,A13_t3,craft-A13_t3,A13,3,5
A13_t4_s4,A13_t4,craft-A13_t4,A13,4,4
A13_t4_s5,A13_t4,craft-A13_t4,A13,4,5
A14_t1_s4,A14_t1,craft-A14_t1,A14,1,4
A14_t1_s5,A14_t1,craft-A14_t1,A14,1,5
