victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A01_t4_s0,A01_t4,craft-A01_t4,A01,4,0
A01_t4_s1,A01_t4,craft-A01_t4,A01,4,1
A01_t4_s2,A01_t4,craft-A01_t4,A01,4,2
A01_t4_s3,A01_t4,craft-A01_t4,A01,4,3
A01_t4_s4,A01_t4,craft-A01_t4,A01,4,4
A01_t4_s5,A01_t4,craft-A01_t4,A01,4,5
A02_t3_s0,A02_t3,craft-A02_t3,A02,3,0
A02_t3_s1,A02_t3,craft-A02_t3,A02,3,1
A02_t3_s2,A02_t3,craft-A02_t3,A02,3,2
A02_t3_s3,A02_t3,craft-A02_t3,A02,3,3
A02_t3_s4,A02_t3,craft-A02_t3,A02,3,4
A02_t3_s5,A02_t3,craft-A02_t3,A02,3,5
A02_t4_s0,A02_t4,craft-A02_t4,A02,4,0
A02_t4_s1,A02_t4,craft-A02_t4,A02,4,1
A02_t4_s2,A02_t4,craft-A02_t4,A02,4,2
A02_t4_s3,A02_t4,craft-A02_t4,A02,4,3
A02_t4_s4,A02_t4,craft-A02_t4,A02,4,4
A02_t4_s5,A02_t4,craft-A02_t4,A02,4,5
A03_t3_s0,A03_t3,craft-A03_t3,A03,3,0
A03_t3_s1,A03_t3,craft-A03_t3,A03,3,1
A03_t3_s2,A03_t3,craft-A03_t3,A03,3,2
A03_t3_s3,A03_t3,craft-A03_t3,A03,3,3
A03_t3_s4,A03_t3,craft-A03_t3,A03,3,4
A03_t3_s5,A03_t3,craft-A03_t3,A03,3,5
A03_t4_s0,A03_t4,craft-A03_t4,A03,4,0
A03_t4_s1,A03_t4,craft-A03_t4,A03,4,1
A03_t4_s2,A03_t4,craft-A03_t4,A03,4,2
A03_t4_s3,A03_t4,craft-A03_t4,A03,4,3
A03_t4_s4,A03_t4,craft-A03_t4,A03,4,4
A03_t4_s5,A03_t4,craft-A03_t4,A03,4,5
A04_t3_s0,A04_t3,craft-A04_t3,A04,3,0
A04_t3_s1,A04_t3,craft-A04_t3,A04,3,1
A04_t3_s2,A04_t3,craft-A04_t3,A04,3,2
A04_t3_s3,A04_t3,craft-A04_t3,A04,3,3
A04_t3_s4,A04_t3,craft-A04_t3,A04,3,4
A04_t3_s5,A04_t3,craft-A04_t3,A04,3,5
A04_t4_s0,A04_t4,craft-A04_t4,A04,4,0
A04_t4_s1,A04_t4,craft-A04_t4,A04,4,1
A04_t4_s2,A04_t4,craft-A04_t4,A04,4,2
A04_t4_s3,A04_t4,craft-A04_t4,A04,4,3
A04_t4_s4,A04_t4,craft-A04_t4,A04,4,4
A04_t4_s5,A04_t4,craft-A04_t4,A04,4,5
A05_t3_s0,A05_t3,craft-A05_t3,A05,3,0
A05_t3_s1,A05_t3,craft-A05_t3,A05,3,1
A05_t3_s2,A05_t3,craft-A05_t3,A05,3,2
A05_t3_s3,A05_t3,craft-A05_t3,A05,3,3
A05_t3_s4,A05_t3,craft-A05_t3,A05,3,4
A05_t3_s5,A05_t3,craft-A05_t3,A05,3,5
A05_t4_s0,A05_t4,craft-A05_t4,A05,4,0
A05_t4_s1,A05_t4,craft-A05_t4,A05,4,1
A05_t4_s2,A05_t4,craft-A05_t4,A05,4,2
A05_t4_s3,A05_t4,craft-A05_t4,A05,4,3
A05_t4_s4,A05_t4,craft-A05_t4,A05,4,4
A05_t4_s5,A05_t4,craft-A05_t4,A05,4,5
A06_t3_s0,A06_t3,craft-A06_t3,A06,3,0
A06_t3_s1,A06_t3,craft-A06_t3,A06,3,1
A06_t3_s2,A06_t3,craft-A06_t3,A06,3,2
A06_t3_s3,A06_t3,craft-A06_t3,A06,3,3
A06_t3_s4,A06_t3,craft-A06_t3,A06,3,4
A06_t3_s5,A06_t3,craft-A06_t3,A06,3,5
A06_t4_s0,A06_t4,craft-A06_t4,A06,4,0
A06_t4_s1,A06_t4,craft-A06_t4,A06,4,1
A06_t4_s2,A06_t4,craft-A06_t4,A06,4,2
A06_t4_s3,A06_t4,craft-A06_t4,A06,4,3
A06_t4_s4,A06_t4,craft-A06_t4,A06,4,4
A06_t4_s5,A06_t4,craft-A06_t4,A06,4,5
A07_t3_s0,A07_t3,craft-A07_t3,A07,3,0
A07_t3_s1,A07_t3,craft-A07_t3,A07,3,1
A07_t3_s2,A07_t3,craft-A07_t3,A07,3,2
A07_t3_s3,A07_t3,craft-A07_t3,A07,3,3
A07_t3_s4,A07_t3,craft-A07_t3,A07,3,4
A07_t3_s5,A07_t3,craft-A07_t3,A07,3,5
A07_t4_s0,A07_t4,craft-A07_t4,A07,4,0
A07_t4_s1,A07_t4,craft-A07_t4,A07,4,1
A07_t4_s2,A07_t4,craft-A07_t4,A07,4,2
A07_t4_s3,A07_t4,craft-A07_t4,A07,4,3
A07_t4_s4,A07_t4,craft-A07_t4,A07,4,4
A07_t4_s5,A07_t4,craft-A07_t4,A07,4,5
A08_t3_s0,A08_t3,craft-A08_t3,A08,3,0
A08_t3_s1,A08_t3,craft-A08_t3,A08,3,1
A08_t3_s2,A08_t3,craft-A08_t3,A08,3,2
A08_t3_s3,A08_t3,craft-A08_t3,A08,3,3
A08_t3_s4,A08_t3,craft-A08_t3,A08,3,4
A08_t3_s5,A08_t3,craft-A08_t3,A08,3,5
A08_t4_s0,A08_t4,craft-A08_t4,A08,4,0
A08_t4_s1,A08_t4,craft-A08_t4,A08,4,1
A08_t4_s2,A08_t4,craft-A08_t4,A08,4,2
A08_t4_s3,A08_t4,craft-A08_t4,A08,4,3
A08_t4_s4,A08_t4,craft-A08_t4,A08,4,4
A08_t4_s5,A08_t4,craft-A08_t4,A08,4,5
A09_t3_s0,A09_t3,craft-A09_t3,A09,3,0
A09_t3_s1,A09_t3,craft-A09_t3,A09,3,1
A09_t3_s2,A09_t3,craft-A09_t3,A09,3,2
A09_t3_s3,A09_t3,craft-A09_t3,A09,3,3
A09_t3_s4,A09_t3,craft-A09_t3,A09,3,4
A09_t3_s5,A09_t3,craft-A09_t3,A09,3,5
A09_t4_s0,A09_t4,craft-A09_t4,A09,4,0
A09_t4_s1,A09_t4,craft-A09_t4,A09,4,1
