cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A01_t1,ConvNetBN,2,5,5,1,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target1
A01_t2,ConvNetBN,2,5,5,2,5,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5-target2
A02_t1,ConvNetBN,2,5,5,1,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target1
A02_t2,ConvNetBN,2,5,5,2,50,61,6,cwT,fig4-dogbird-ConvNetBN-npoison50-target2
A03_t1,ConvNetBN,2,5,5,1,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target1
A03_t2,ConvNetBN,2,5,5,2,500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison500-target2
A04_t1,ConvNetBN,2,5,5,1,2500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison2500-target1
A04_t2,ConvNetBN,2,5,5,2,2500,61,6,cwT,fig4-dogbird-ConvNetBN-npoison2500-target2
A05_t1,ConvNetBN,2,5,5,1,5000,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5000-target1
A05_t2,ConvNetBN,2,5,5,2,5000,61,6,cwT,fig4-dogbird-ConvNetBN-npoison5000-target2
A06_t1,ConvNetBN,0,6,6,1,5,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5-target1
A06_t2,ConvNetBN,0,6,6,2,5,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5-target2
A07_t1,ConvNetBN,0,6,6,1,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target1
A07_t2,ConvNetBN,0,6,6,2,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target2
A08_t1,ConvNetBN,0,6,6,1,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target1
A08_t2,ConvNetBN,0,6,6,2,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target2
A09_t1,ConvNetBN,0,6,6,1,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target1
A09_t2,ConvNetBN,0,6,6,2,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target2
A10_t1,ConvNetBN,0,6,6,1,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target1
A10_t2,ConvNetBN,0,6,6,2,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target2
A11_t1,VGG13BN,2,5,5,1,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target1
A11_t2,VGG13BN,2,5,5,2,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target2
A12_t1,VGG13BN,2,5,5,1,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target1
A12_t2,VGG13BN,2,5,5,2,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target2
A13_t1,VGG13BN,2,5,5,1,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target1
A13_t2,VGG13BN,2,5,5,2,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target2
A14_t1,VGG13BN,2,5,5,1,2500,61,6,cwT,fig4-dogbird-VGG13BN-npoison2500-target1
