victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A01_s0,A01,craft-A01,A01,0,0
A01_s1,A01,craft-A01,A01,0,1
A01_s2,A01,craft-A01,A01,0,2
A01_s3,A01,craft-A01,A01,0,3
A01_s4,A01,craft-A01,A01,0,4
A01_s5,A01,craft-A01,A01,0,5
A01_t1_s0,A01_t1,craft-A01_t1,A01,1,0
A01_t1_s1,A01_t1,craft-A01_t1,A01,1,1
A01_t1_s2,A01_t1,craft-A01_t1,A01,1,2
A01_t1_s3,A01_t1,craft-A01_t1,A01,1,3
A01_t1_s4,A01_t1,craft-A01_t1,A01,1,4
A01_t1_s5,A01_t1,craft-A01_t1,A01,1,5
A01_t2_s0,A01_t2,craft-A01_t2,A01,2,0
A01_t2_s1,A01_t2,craft-A01_t2,A01,2,1
A01_t2_s2,A01_t2,craft-A01_t2,A01,2,2
A01_t2_s3,A01_t2,craft-A01_t2,A01,2,3
A01_t2_s4,A01_t2,craft-A01_t2,A01,2,4
A01_t2_s5,A01_t2,craft-A01_t2,A01,2,5
A01_t3_s0,A01_t3,craft-A01_t3,A01,3,0
A01_t3_s1,A01_t3,craft-A01_t3,A01,3,1
A01_t3_s2,A01_t3,craft-A01_t3,A01,3,2
A01_t3_s3,A01_t3,craft-A01_t3,A01,3,3
A01_t3_s4,A01_t3,craft-A01_t3,A01,3,4
A01_t3_s5,A01_t3,craft-A01_t3,A01,3,5
A01_t4_s0,A01_t4,craft-A01_t4,A01,4,0
A01_t4_s1,A01_t4,craft-A01_t4,A01,4,1
A01_t4_s2,A01_t4,craft-A01_t4,A01,4,2
A01_t4_s3,A01_t4,craft-A01_t4,A01,4,3
A01_t4_s4,A01_t4,craft-A01_t4,A01,4,4
A01_t4_s5,A01_t4,craft-A01_t4,A01,4,5
A01_t5_s0,A01_t5,craft-A01_t5,A01,5,0
A01_t5_s1,A01_t5,craft-A01_t5,A01,5,1
A01_t5_s2,A01_t5,craft-A01_t5,A01,5,2
A01_t5_s3,A01_t5,craft-A01_t5,A01,5,3
A01_t5_s4,A01_t5,craft-A01_t5,A01,5,4
A01_t5_s5,A01_t5,craft-A01_t5,A01,5,5
A01_t6_s0,A01_t6,craft-A01_t6,A01,6,0
A01_t6_s1,A01_t6,craft-A01_t6,A01,6,1
A01_t6_s2,A01_t6,craft-A01_t6,A01,6,2
A01_t6_s3,A01_t6,craft-A01_t6,A01,6,3
A01_t6_s4,A01_t6,craft-A01_t6,A01,6,4
A01_t6_s5,A01_t6,craft-A01_t6,A01,6,5
A01_t7_s0,A01_t7,craft-A01_t7,A01,7,0
A01_t7_s1,A01_t7,craft-A01_t7,A01,7,1
A01_t7_s2,A01_t7,craft-A01_t7,A01,7,2
A01_t7_s3,A01_t7,craft-A01_t7,A01,7,3
A01_t7_s4,A01_t7,craft-A01_t7,A01,7,4
A01_t7_s5,A01_t7,craft-A01_t7,A01,7,5
A01_t8_s0,A01_t8,craft-A01_t8,A01,8,0
A01_t8_s1,A01_t8,craft-A01_t8,A01,8,1
A01_t8_s2,A01_t8,craft-A01_t8,A01,8,2
A01_t8_s3,A01_t8,craft-A01_t8,A01,8,3
A01_t8_s4,A01_t8,craft-A01_t8,A01,8,4
A01_t8_s5,A01_t8,craft-A01_t8,A01,8,5
A01_t9_s0,A01_t9,craft-A01_t9,A01,9,0
A01_t9_s1,A01_t9,craft-A01_t9,A01,9,1
A01_t9_s2,A01_t9,craft-A01_t9,A01,9,2
A01_t9_s3,A01_t9,craft-A01_t9,A01,9,3
A01_t9_s4,A01_t9,craft-A01_t9,A01,9,4
A01_t9_s5,A01_t9,craft-A01_t9,A01,9,5
A02_s0,A02,craft-A02,A02,0,0
A02_s1,A02,craft-A02,A02,0,1
A02_s2,A02,craft-A02,A02,0,2
A02_s3,A02,craft-A02,A02,0,3
A02_s4,A02,craft-A02,A02,0,4
A02_s5,A02,craft-A02,A02,0,5
A02_t1_s0,A02_t1,craft-A02_t1,A02,1,0
A02_t1_s1,A02_t1,craft-A02_t1,A02,1,1
A02_t1_s2,A02_t1,craft-A02_t1,A02,1,2
A02_t1_s3,A02_t1,craft-A02_t1,A02,1,3
