victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A01_s0,A01,craft-A01,A01,0,0
A01_s1,A01,craft-A01,A01,0,1
A01_s2,A01,craft-A01,A01,0,2
A01_s3,A01,craft-A01,A01,0,3
A01_s4,A01,craft-A01,A01,0,4
A01_s5,A01,craft-A01,A01,0,5
A02_s0,A02,craft-A02,A02,0,0
A02_s1,A02,craft-A02,A02,0,1
A02_s2,A02,craft-A02,A02,0,2
A02_s3,A02,craft-A02,A02,0,3
A02_s4,A02,craft-A02,A02,0,4
A02_s5,A02,craft-A02,A02,0,5
A03_s0,A03,craft-A03,A03,0,0
A03_s1,A03,craft-A03,A03,0,1
A03_s2,A03,craft-A03,A03,0,2
A03_s3,A03,craft-A03,A03,0,3
A03_s4,A03,craft-A03,A03,0,4
A03_s5,A03,craft-A03,A03,0,5
A04_s0,A04,craft-A04,A04,0,0
A04_s1,A04,craft-A04,A04,0,1
A04_s2,A04,craft-A04,A04,0,2
A04_s3,A04,craft-A04,A04,0,3
A04_s4,A04,craft-A04,A04,0,4
A04_s5,A04,craft-A04,A04,0,5
A05_s0,A05,craft-A05,A05,0,0
A05_s1,A05,craft-A05,A05,0,1
A05_s2,A05,craft-A05,A05,0,2
A05_s3,A05,craft-A05,A05,0,3
A05_s4,A05,craft-A05,A05,0,4
A05_s5,A05,craft-A05,A05,0,5
A06_s0,A06,craft-A06,A06,0,0
A06_s1,A06,craft-A06,A06,0,1
A06_s2,A06,craft-A06,A06,0,2
A06_s3,A06,craft-A06,A06,0,3
A06_s4,A06,craft-A06,A06,0,4
A06_s5,A06,craft-A06,A06,0,5
A07_s0,A07,craft-A07,A07,0,0
A07_s1,A07,craft-A07,A07,0,1
A07_s2,A07,craft-A07,A07,0,2
A07_s3,A07,craft-A07,A07,0,3
A07_s4,A07,craft-A07,A07,0,4
A07_s5,A07,craft-A07,A07,0,5
A08_s0,A08,craft-A08,A08,0,0
A08_s1,A08,craft-A08,A08,0,1
A08_s2,A08,craft-A08,A08,0,2
A08_s3,A08,craft-A08,A08,0,3
A08_s4,A08,craft-A08,A08,0,4
A08_s5,A08,craft-A08,A08,0,5
A09_s0,A09,craft-A09,A09,0,0
A09_s1,A09,craft-A09,A09,0,1
A09_s2,A09,craft-A09,A09,0,2
A09_s3,A09,craft-A09,A09,0,3
A09_s4,A09,craft-A09,A09,0,4
A09_s5,A09,craft-A09,A09,0,5
A10_s0,A10,craft-A10,A10,0,0
A10_s1,A10,craft-A10,A10,0,1
A10_s2,A10,craft-A10,A10,0,2
A10_s3,A10,craft-A10,A10,0,3
A10_s4,A10,craft-A10,A10,0,4
A10_s5,A10,craft-A10,A10,0,5
A11_s0,A11,craft-A11,A11,0,0
A11_s1,A11,craft-A11,A11,0,1
A11_s2,A11,craft-A11,A11,0,2
A11_s3,A11,craft-A11,A11,0,3
A11_s4,A11,craft-A11,A11,0,4
A11_s5,A11,craft-A11,A11,0,5
A12_s0,A12,craft-A12,A12,0,0
A12_s1,A12,craft-A12,A12,0,1
A12_s2,A12,craft-A12,A12,0,2
A12_s3,A12,craft-A12,A12,0,3
A12_s4,A12,craft-A12,A12,0,4
A12_s5,A12,craft-A12,A12,0,5
A13_s0,A13,craft-A13,A13,0,0
A13_s1,A13,craft-A13,A13,0,1
A13_s2,A13,craft-A13,A13,0,2
A13_s3,A13,craft-A13,A13,0,3
A13_s4,A13,craft-A13,A13,0,4
A13_s5,A13,craft-A13,A13,0,5
A14_s0,A14,craft-A14,A14,0,0
A14_s1,A14,craft-A14,A14,0,1
A14_s2,A14,craft-A14,A14,0,2
A14_s3,A14,craft-A14,A14,0,3
A14_s4,A14,craft-A14,A14,0,4
A14_s5,A14,craft-A14,A14,0,5
A15_s0,A15,craft-A15,A15,0,0
A15_s1,A15,craft-A15,A15,0,1
A15_s2,A15,craft-A15,A15,0,2
A15_s3,A15,craft-A15,A15,0,3
A15_s4,A15,craft-A15,A15,0,4
A15_s5,A15,craft-A15,A15,0,5
A16_s0,A16,craft-A16,A16,0,0
A16_s1,A16,craft-A16,A16,0,1
A16_s2,A16,craft-A16,A16,0,2
A16_s3,A16,craft-A16,A16,0,3
A16_s4,A16,craft-A16,A16,0,4
