craft_uid,method,pair_name,target_class,base_class,target_idx,n_poison,eps,watermark
D-fc-bird-dog-t0-n1-wm,fc,bird-dog,2,5,0,1,16,wm
D-fc-bird-dog-t0-n1-nowm,fc,bird-dog,2,5,0,1,,nowm
D-fc-bird-dog-t0-n5-wm,fc,bird-dog,2,5,0,5,16,wm
D-fc-bird-dog-t0-n5-nowm,fc,bird-dog,2,5,0,5,,nowm
D-fc-bird-dog-t0-n10-wm,fc,bird-dog,2,5,0,10,16,wm
D-fc-bird-dog-t0-n10-nowm,fc,bird-dog,2,5,0,10,,nowm
D-fc-bird-dog-t0-n25-wm,fc,bird-dog,2,5,0,25,16,wm
D-fc-bird-dog-t0-n25-nowm,fc,bird-dog,2,5,0,25,,nowm
D-fc-bird-dog-t0-n50-wm,fc,bird-dog,2,5,0,50,16,wm
D-fc-bird-dog-t0-n50-nowm,fc,bird-dog,2,5,0,50,,nowm
D-fc-bird-dog-t0-n100-wm,fc,bird-dog,2,5,0,100,16,wm
D-fc-bird-dog-t0-n100-nowm,fc,bird-dog,2,5,0,100,,nowm
D-fc-bird-dog-t1-n1-wm,fc,bird-dog,2,5,1,1,16,wm
D-fc-bird-dog-t1-n1-nowm,fc,bird-dog,2,5,1,1,,nowm
D-fc-bird-dog-t1-n5-wm,fc,bird-dog,2,5,1,5,16,wm
D-fc-bird-dog-t1-n5-nowm,fc,bird-dog,2,5,1,5,,nowm
D-fc-bird-dog-t1-n10-wm,fc,bird-dog,2,5,1,10,16,wm
D-fc-bird-dog-t1-n10-nowm,fc,bird-dog,2,5,1,10,,nowm
D-fc-bird-dog-t1-n25-wm,fc,bird-dog,2,5,1,25,16,wm
D-fc-bird-dog-t1-n25-nowm,fc,bird-dog,2,5,1,25,,nowm
D-fc-bird-dog-t1-n50-wm,fc,bird-dog,2,5,1,50,16,wm
D-fc-bird-dog-t1-n50-nowm,fc,bird-dog,2,5,1,50,,nowm
D-fc-bird-dog-t1-n100-wm,fc,bird-dog,2,5,1,100,16,wm
D-fc-bird-dog-t1-n100-nowm,fc,bird-dog,2,5,1,100,,nowm
D-fc-bird-dog-t2-n1-wm,fc,bird-dog,2,5,2,1,16,wm
D-fc-bird-dog-t2-n1-nowm,fc,bird-dog,2,5,2,1,,nowm
D-fc-bird-dog-t2-n5-wm,fc,bird-dog,2,5,2,5,16,wm
D-fc-bird-dog-t2-n5-nowm,fc,bird-dog,2,5,2,5,,nowm
D-fc-bird-dog-t2-n10-wm,fc,bird-dog,2,5,2,10,16,wm
D-fc-bird-dog-t2-n10-nowm,fc,bird-dog,2,5,2,10,,nowm
D-fc-bird-dog-t2-n25-wm,fc,bird-dog,2,5,2,25,16,wm
D-fc-bird-dog-t2-n25-nowm,fc,bird-dog,2,5,2,25,,nowm
D-fc-bird-dog-t2-n50-wm,fc,bird-dog,2,5,2,50,16,wm
D-fc-bird-dog-t2-n50-nowm,fc,bird-dog,2,5,2,50,,nowm
D-fc-bird-dog-t2-n100-wm,fc,bird-dog,2,5,2,100,16,wm
D-fc-bird-dog-t2-n100-nowm,fc,bird-dog,2,5,2,100,,nowm
D-fc-bird-dog-t3-n1-wm,fc,bird-dog,2,5,3,1,16,wm
D-fc-bird-dog-t3-n1-nowm,fc,bird-dog,2,5,3,1,,nowm
D-fc-bird-dog-t3-n5-wm,fc,bird-dog,2,5,3,5,16,wm
D-fc-bird-dog-t3-n5-nowm,fc,bird-dog,2,5,3,5,,nowm
D-fc-bird-dog-t3-n10-wm,fc,bird-dog,2,5,3,10,16,wm
D-fc-bird-dog-t3-n10-nowm,fc,bird-dog,2,5,3,10,,nowm
D-fc-bird-dog-t3-n25-wm,fc,bird-dog,2,5,3,25,16,wm
D-fc-bird-dog-t3-n25-nowm,fc,bird-dog,2,5,3,25,,nowm
D-fc-bird-dog-t3-n50-wm,fc,bird-dog,2,5,3,50,16,wm
D-fc-bird-dog-t3-n50-nowm,fc,bird-dog,2,5,3,50,,nowm
D-fc-bird-dog-t3-n100-wm,fc,bird-dog,2,5,3,100,16,wm
D-fc-bird-dog-t3-n100-nowm,fc,bird-dog,2,5,3,100,,nowm
D-fc-bird-dog-t4-n1-wm,fc,bird-dog,2,5,4,1,16,wm
D-fc-bird-dog-t4-n1-nowm,fc,bird-dog,2,5,4,1,,nowm
D-fc-bird-dog-t4-n5-wm,fc,bird-dog,2,5,4,5,16,wm
D-fc-bird-dog-t4-n5-nowm,fc,bird-dog,2,5,4,5,,nowm
D-fc-bird-dog-t4-n10-wm,fc,bird-dog,2,5,4,10,16,wm
D-fc-bird-dog-t4-n10-nowm,fc,bird-dog,2,5,4,10,,nowm
D-fc-bird-dog-t4-n25-wm,fc,bird-dog,2,5,4,25,16,wm
D-fc-bird-dog-t4-n25-nowm,fc,bird-dog,2,5,4,25,,nowm
D-fc-bird-dog-t4-n50-wm,fc,bird-dog,2,5,4,50,16,wm
D-fc-bird-dog-t4-n50-nowm,fc,bird-dog,2,5,4,50,,nowm
D-fc-bird-dog-t4-n100-wm,fc,bird-dog,2,5,4,100,16,wm
D-fc-bird-dog-t4-n100-nowm,fc,bird-dog,2,5,4,100,,nowm
D-fc-plane-frog-t0-n1-wm,fc,plane-frog,0,6,0,1,16,wm
D-fc-plane-frog-t0-n1-nowm,fc,plane-frog,0,6,0,1,,nowm
D-fc-plane-frog-t0-n5-wm,fc,plane-frog,0,6,0,5,16,wm
D-fc-plane-frog-t0-n5-nowm,fc,plane-frog,0,6,0,5,,nowm
D-fc-plane-frog-t0-n10-wm,fc,plane-frog,0,6,0,10,16,wm
D-fc-plane-frog-t0-n10-nowm,fc,plane-frog,0,6,0,10,,nowm
D-fc-plane-frog-t0-n25-wm,fc,plane-frog,0,6,0,25,16,wm
D-fc-plane-frog-t0-n25-nowm,fc,plane-frog,0,6,0,25,,nowm
D-fc-plane-frog-t0-n50-wm,fc,plane-frog,0,6,0,50,16,wm
D-fc-plane-frog-t0-n50-nowm,fc,plane-frog,0,6,0,50,,nowm
D-fc-plane-frog-t0-n100-wm,fc,plane-frog,0,6,0,100,16,wm
D-fc-plane-frog-t0-n100-nowm,fc,plane-frog,0,6,0,100,,nowm
D-fc-plane-frog-t1-n1-wm,fc,plane-frog,0,6,1,1,16,wm
D-fc-plane-frog-t1-n1-nowm,fc,plane-frog,0,6,1,1,,nowm
D-fc-plane-frog-t1-n5-wm,fc,plane-frog,0,6,1,5,16,wm
D-fc-plane-frog-t1-n5-nowm,fc,plane-frog,0,6,1,5,,nowm
D-fc-plane-frog-t1-n10-wm,fc,plane-frog,0,6,1,10,16,wm
D-fc-plane-frog-t1-n10-nowm,fc,plane-frog,0,6,1,10,,nowm
D-fc-plane-frog-t1-n25-wm,fc,plane-frog,0,6,1,25,16,wm
D-fc-plane-frog-t1-n25-nowm,fc,plane-frog,0,6,1,25,,nowm
D-fc-plane-frog-t1-n50-wm,fc,plane-frog,0,6,1,50,16,wm
D-fc-plane-frog-t1-n50-nowm,fc,plane-frog,0,6,1,50,,nowm
D-fc-plane-frog-t1-n100-wm,fc,plane-frog,0,6,1,100,16,wm
D-fc-plane-frog-t1-n100-nowm,fc,plane-frog,0,6,1,100,,nowm
D-fc-plane-frog-t2-n1-wm,fc,plane-frog,0,6,2,1,16,wm
D-fc-plane-frog-t2-n1-nowm,fc,plane-frog,0,6,2,1,,nowm
D-fc-plane-frog-t2-n5-wm,fc,plane-frog,0,6,2,5,16,wm
D-fc-plane-frog-t2-n5-nowm,fc,plane-frog,0,6,2,5,,nowm
D-fc-plane-frog-t2-n10-wm,fc,plane-frog,0,6,2,10,16,wm
D-fc-plane-frog-t2-n10-nowm,fc,plane-frog,0,6,2,10,,nowm
D-fc-plane-frog-t2-n25-wm,fc,plane-frog,0,6,2,25,16,wm
D-fc-plane-frog-t2-n25-nowm,fc,plane-frog,0,6,2,25,,nowm
D-fc-plane-frog-t2-n50-wm,fc,plane-frog,0,6,2,50,16,wm
D-fc-plane-frog-t2-n50-nowm,fc,plane-frog,0,6,2,50,,nowm
D-fc-plane-frog-t2-n100-wm,fc,plane-frog,0,6,2,100,16,wm
D-fc-plane-frog-t2-n100-nowm,fc,plane-frog,0,6,2,100,,nowm
D-fc-plane-frog-t3-n1-wm,fc,plane-frog,0,6,3,1,16,wm
D-fc-plane-frog-t3-n1-nowm,fc,plane-frog,0,6,3,1,,nowm
D-fc-plane-frog-t3-n5-wm,fc,plane-frog,0,6,3,5,16,wm
D-fc-plane-frog-t3-n5-nowm,fc,plane-frog,0,6,3,5,,nowm
D-fc-plane-frog-t3-n10-wm,fc,plane-frog,0,6,3,10,16,wm
D-fc-plane-frog-t3-n10-nowm,fc,plane-frog,0,6,3,10,,nowm
D-fc-plane-frog-t3-n25-wm,fc,plane-frog,0,6,3,25,16,wm
D-fc-plane-frog-t3-n25-nowm,fc,plane-frog,0,6,3,25,,nowm
D-fc-plane-frog-t3-n50-wm,fc,plane-frog,0,6,3,50,16,wm
