victim_id,craft_uid,pair_name,target_class,base_class,target_idx,n_poison,watermark,seed_idx
D-fc-bird-dog-t0-n1-wm-s0,D-fc-bird-dog-t0-n1-wm,bird-dog,2,5,0,1,wm,0
D-fc-bird-dog-t0-n1-wm-s1,D-fc-bird-dog-t0-n1-wm,bird-dog,2,5,0,1,wm,1
D-fc-bird-dog-t0-n1-wm-s2,D-fc-bird-dog-t0-n1-wm,bird-dog,2,5,0,1,wm,2
D-fc-bird-dog-t0-n1-nowm-s0,D-fc-bird-dog-t0-n1-nowm,bird-dog,2,5,0,1,nowm,0
D-fc-bird-dog-t0-n1-nowm-s1,D-fc-bird-dog-t0-n1-nowm,bird-dog,2,5,0,1,nowm,1
D-fc-bird-dog-t0-n1-nowm-s2,D-fc-bird-dog-t0-n1-nowm,bird-dog,2,5,0,1,nowm,2
D-fc-bird-dog-t0-n5-wm-s0,D-fc-bird-dog-t0-n5-wm,bird-dog,2,5,0,5,wm,0
D-fc-bird-dog-t0-n5-wm-s1,D-fc-bird-dog-t0-n5-wm,bird-dog,2,5,0,5,wm,1
D-fc-bird-dog-t0-n5-wm-s2,D-fc-bird-dog-t0-n5-wm,bird-dog,2,5,0,5,wm,2
D-fc-bird-dog-t0-n5-nowm-s0,D-fc-bird-dog-t0-n5-nowm,bird-dog,2,5,0,5,nowm,0
D-fc-bird-dog-t0-n5-nowm-s1,D-fc-bird-dog-t0-n5-nowm,bird-dog,2,5,0,5,nowm,1
D-fc-bird-dog-t0-n5-nowm-s2,D-fc-bird-dog-t0-n5-nowm,bird-dog,2,5,0,5,nowm,2
D-fc-bird-dog-t0-n10-wm-s0,D-fc-bird-dog-t0-n10-wm,bird-dog,2,5,0,10,wm,0
D-fc-bird-dog-t0-n10-wm-s1,D-fc-bird-dog-t0-n10-wm,bird-dog,2,5,0,10,wm,1
D-fc-bird-dog-t0-n10-wm-s2,D-fc-bird-dog-t0-n10-wm,bird-dog,2,5,0,10,wm,2
D-fc-bird-dog-t0-n10-nowm-s0,D-fc-bird-dog-t0-n10-nowm,bird-dog,2,5,0,10,nowm,0
